model,model_name,epoch,training_epochs_planned,validation_exact_count,validation_n,validation_exact_percent,average_string_similarity_percent,selected_epoch,source_log
10_transformer_vae_epoch90,TransformerVAE-90,350,1000,14,2178,0.64000000000000001,53.060000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,360,1000,6,2178,0.28000000000000003,52.899999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,370,1000,5,2178,0.23000000000000001,52.939999999999998,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,380,1000,10,2178,0.46000000000000002,52.789999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,390,1000,8,2178,0.37,52.939999999999998,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,400,1000,7,2178,0.32000000000000001,53.409999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,410,1000,5,2178,0.23000000000000001,52.57,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,420,1000,1,2178,0.050000000000000003,51.359999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,430,1000,3,2178,0.14000000000000001,51.630000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,440,1000,2,2178,0.089999999999999997,51.469999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,450,1000,1,2178,0.050000000000000003,51.390000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,460,1000,2,2178,0.089999999999999997,49.609999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
10_transformer_vae_epoch90,TransformerVAE-90,470,1000,0,2178,0,49.090000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/10_transformer_vae_epoch90/training.log
